67,61
15,16
11,26
39,1
3,27
25,8
12,7
65,60
4,23
16,25
1,49
43,9
51,62
10,11
11,23
43,57
34,13
19,42
67,58
15,15
55,68
45,63
17,25
5,12
2,23
55,61
11,53
53,63
5,47
55,65
58,63
48,9
17,15
59,41
48,67
9,33
55,57
41,63
2,7
69,66
3,23
41,61
30,1
12,39
44,13
19,3
2,29
24,1
58,55
23,6
16,39
39,49
26,7
41,2
64,53
17,54
5,14
23,16
5,42
21,44
67,46
15,55
10,21
65,55
11,8
1,52
46,3
62,35
67,49
15,54
40,9
20,15
16,5
4,17
47,70
13,28
15,46
11,1
35,4
7,36
23,8
45,59
21,46
17,21
14,57
14,17
9,23
19,40
5,20
61,67
14,39
11,25
45,67
39,15
37,52
21,14
9,20
52,61
19,1
43,7
21,37
14,9
17,12
39,54
19,27
61,68
47,66
65,69
15,47
15,39
7,31
44,63
67,34
43,4
27,7
48,7
15,57
27,11
27,0
9,48
48,57
23,9
8,55
7,12
6,55
33,13
4,29
10,47
65,48
21,7
19,41
57,61
13,53
65,53
1,25
33,8
59,61
15,1
35,14
14,3
1,5
25,13
60,65
59,67
9,30
37,3
41,55
50,51
69,43
3,37
1,41
39,6
59,49
39,55
9,42
64,51
37,2
1,16
21,5
15,6
3,6
15,12
45,7
8,5
0,11
5,41
59,65
41,5
50,65
49,50
69,52
19,13
24,13
55,56
59,58
22,11
17,19
17,3
15,51
27,19
53,61
59,57
45,53
38,5
9,25
61,47
5,23
14,53
19,12
51,45
20,27
39,8
9,54
17,11
41,54
19,45
27,1
23,43
21,9
7,29
10,49
34,19
67,50
11,10
15,53
55,54
64,67
21,2
59,52
57,58
41,9
1,11
20,5
23,48
57,51
6,35
63,61
11,57
53,67
57,64
64,55
17,43
69,42
15,17
21,15
11,50
32,3
21,17
18,33
9,17
31,65
45,58
27,49
51,63
17,30
11,43
20,25
14,23
1,53
9,1
5,37
8,15
9,5
59,55
15,45
5,17
13,24
61,54
11,9
44,55
13,26
5,28
11,52
5,50
5,1
17,22
5,39
22,51
23,11
68,43
27,25
3,12
3,41
23,7
5,11
43,19
61,69
54,59
1,55
55,49
43,5
21,3
9,0
7,13
37,63
61,59
1,47
27,10
6,1
39,53
27,5
0,55
27,15
5,52
24,21
49,67
